縣市,鄉鎮市區,門市店名,門市店號,地址,緯度,經度
臺北市,中正區,台大門市,10000,臺北市中正區羅斯福路四段84號1樓+2樓,25.014,121.534745
臺北市,中正區,站前門市,10041,臺北市中正區忠孝西路一段49號地下B1(南港線台北車站５號販賣店),25.0463846,121.5178642
臺北市,中正區,北車門市,10041,臺北市中正區忠孝西路一段49號B3層,25.0463846,121.5178642
臺北市,中正區,風采門市,10043,臺北市中正區延平南路103號1~3樓,25.04209,121.509665
臺北市,中正區,新中正門市,10057,臺北市中正區信義路二段1號1、2樓,25.0354941,121.5248911
臺北市,中正區,寧波門市,10074,臺北市中正區寧波西街11號,25.0314235,121.5185738
臺北市,中正區,同安門市,10085,臺北市中正區同安街41之1號1樓,25.0247959,121.5224672
臺北市,大同區,南西門市,10345,臺北市大同區南京西路316號,25.053913,121.513
臺北市,大同區,保平門市,10348,臺北市大同區延平北路二段198號,25.058962,121.5113595
臺北市,大同區,承德門市,10351,臺北市大同區承德路一段29號、長安西路59號,25.0509259,121.5172961
臺北市,大同區,花博門市,10367,臺北市大同區酒泉街39號,25.0707171,121.5189354
臺北市,大同區,庫倫門市,10367,臺北市大同區庫倫街45號1樓+B1,25.0720579,121.5182934
臺北市,中山區,權站門市,10449,臺北市中山區民權西路４０號１樓.B１,25.0624859,121.521112
臺北市,中山區,林森門市,10450,臺北市中山區林森北路282號1樓,25.055624,121.5252812
臺北市,中山區,森北門市,10453,臺北市中山區林森北路426號,25.0599301,121.5253775
臺北市,中山區,新長順門市,10454,臺北市中山區林森北路111號1樓,25.0505356,121.5251244
臺北市,中山區,新松江門市,10456,臺北市中山區長安東路2段51號1樓,25.0485925,121.532439
臺北市,中山區,南京東門市,10457,臺北市中山區南京東路二段100號,25.0518004,121.5319889
臺北市,中山區,晴安門市,10460,臺北市中山區農安街14號1、B1,25.0648519,121.5244321
臺北市,中山區,北安門市,10463,臺北市中山區北安路616號1樓及608巷3號2F之,25.08238,121.54906
臺北市,中山區,薇閣門市,10466,臺北市中山區敬業三路１１號,25.0835286,121.5556427
臺北市,中山區,錦州門市,10467,臺北市中山區錦州街219號1樓,25.0604341,121.5321888
臺北市,中山區,吉林門市,10470,臺北市中山區農安街129號1樓,25.0649356,121.5300778
臺北市,中山區,龍江門市,10474,臺北市中山區龍江路334號1樓,25.0653928,121.5408779
臺北市,中山區,復錦門市,10476,臺北市中山區復興北路354號,25.0602595,121.5439216
臺北市,中山區,松錦門市,10483,臺北市中山區松江路307號1樓,25.0615051,121.533487
臺北市,中山區,興北門市,10487,臺北市中山區復興北路164號,25.0535134,121.5437149
臺北市,中山區,復興門市,10488,臺北市中山區復興北路62號,25.0504585,121.5438048
臺北市,松山區,西華門市,10546,臺北市松山區復興北路313巷30號1樓,25.0588119,121.5462564
臺北市,松山區,慶城門市,10547,臺北市松山區慶城街14號1樓,25.0531511,121.5451767
臺北市,松山區,松航門市(暫停營業中),10548,臺北市松山區敦化北路340-9號(松山機場國際松山機場國際航廈１樓,25.067566,121.552699
臺北市,松山區,敦北門市,10549,臺北市松山區敦化北路147號,25.0538751,121.5493551
臺北市,松山區,富有門市,10558,臺北市松山區八德路三段208號.210號,25.047831,121.556667
臺北市,松山區,新中崙門市,10559,臺北市松山區八德路三段二十之二號1樓B區,25.0489742,121.5569662
臺北市,松山區,新東興門市,10569,臺北市松山區南京東路五段264號1樓,25.0511413,121.5666575
臺北市,松山區,民生東門市,10576,臺北市松山區民生東路五段146號.146-1號.146-2號.146-3號,25.0584727,121.5620303
臺北市,松山區,新建華門市,10580,臺北市松山區南京東路四段137號1樓,25.0518257,121.5553378
臺北市,松山區,新東門市,10589,臺北市松山區民生東路五段236號,25.0588639,121.5661365
臺北市,松山區,吉祥門市,10597,臺北市松山區南京東路五段156號,25.0512231,121.5629085
臺北市,大安區,師大門市,10646,臺北市大安區師大路95號、97號,25.0229069,121.528491
臺北市,大安區,福運門市,10647,臺北市大安區羅斯福路三段297-4號1樓,25.017584,121.531774
臺北市,大安區,東門門市,10650,臺北市大安區信義路二段166號B1,25.0336009,121.5292686
臺北市,大安區,永康門市,10651,臺北市大安區永康街7之2號1樓,25.0331502,121.52992
臺北市,大安區,微風門市,10666,臺北市大安區復興南路一段125號1樓,25.0433357,121.5440383
